Points,O.Points,Assists,O.Assists,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,OffensiveRebounds,O.OffensiveRebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,TwoPointersMade,TwoPointersAttempted,O.TwoPointersMade,O.TwoPointersAttempted
83,80,21,16,11,8,35,27,23,22,16,18,13,16,12,14,8,12,12,8,4,0,21,14,29,62,32,76
109,99,22,19,2,4,33,26,20,30,41,29,34,25,14,6,8,8,15,29,5,10,13,11,30,58,22,46
115,100,28,26,4,2,30,31,18,24,23,11,18,9,12,6,9,2,17,10,5,5,10,14,41,74,38,71
104,92,27,14,6,4,32,32,18,24,29,23,23,16,14,16,9,3,5,14,1,4,10,18,39,82,32,72
103,79,22,8,6,8,24,21,20,19,19,24,12,16,16,18,11,3,9,6,3,3,9,18,41,75,27,67
89,94,23,14,4,3,22,30,29,24,35,36,26,29,10,10,7,6,20,10,3,1,10,12,27,51,31,59
122,90,23,21,5,5,30,25,25,23,32,36,29,20,5,7,17,4,18,16,11,6,10,26,30,60,26,48
100,113,26,31,3,1,26,27,22,23,22,24,14,20,11,17,4,9,14,16,6,5,15,10,34,63,39,71
81,91,17,18,1,4,32,38,27,28,34,27,23,20,14,6,8,13,13,6,0,1,20,16,29,66,34,67
97,92,21,29,9,9,28,19,22,18,25,16,19,10,16,19,7,7,12,9,2,2,15,13,36,73,38,80
115,121,18,25,0,3,19,23,29,23,25,33,20,26,10,11,8,9,14,16,5,9,16,16,40,69,34,63
103,115,30,21,6,1,28,33,20,14,11,24,11,17,9,9,6,8,30,24,12,10,14,12,28,54,34,60
96,93,15,20,9,1,26,23,17,27,37,15,26,15,6,22,9,5,6,20,2,6,13,12,32,60,30,72
87,90,21,23,10,1,33,41,24,24,29,25,20,19,9,17,10,5,29,10,9,5,11,15,20,50,28,74
87,78,14,14,11,4,30,28,28,21,23,28,20,19,16,15,8,4,10,9,3,1,16,16,29,71,28,67
86,80,23,12,5,2,26,31,19,22,18,22,13,17,9,9,8,6,11,19,3,7,12,16,32,65,21,53
109,98,29,14,5,5,35,24,19,16,12,19,10,16,10,7,6,7,13,13,7,8,13,11,39,73,29,67
102,84,20,18,2,9,29,29,19,22,29,27,17,20,25,11,10,5,22,8,9,4,12,16,29,68,26,61
100,93,22,19,4,2,36,24,26,24,27,26,22,18,7,13,6,10,18,21,6,9,15,12,30,56,24,63
106,96,20,13,5,5,30,24,24,19,26,32,19,24,16,11,6,6,20,13,9,4,17,11,30,58,30,65
95,92,20,10,4,7,26,30,24,29,32,24,21,15,17,11,13,11,16,16,8,7,16,22,25,67,28,58
103,82,31,18,6,1,36,30,20,27,30,24,22,16,10,15,8,9,13,14,1,4,15,18,39,65,27,70
91,97,22,17,3,9,28,37,20,22,30,35,23,30,13,6,6,4,14,10,2,3,9,12,31,71,29,62
95,86,23,19,5,5,35,30,25,24,30,30,24,18,8,19,11,7,11,8,1,4,16,21,34,65,28,77
93,85,17,18,6,7,36,24,20,28,45,14,34,10,14,20,10,12,14,15,3,5,22,19,25,53,30,78
70,78,14,17,4,10,39,26,18,20,17,12,13,7,13,12,6,10,6,15,3,5,19,8,24,64,28,70
102,94,31,13,4,4,31,32,24,18,18,32,11,20,10,18,7,8,29,12,13,6,16,16,26,51,28,69
98,84,23,18,10,3,32,27,15,20,19,16,14,10,9,15,6,3,22,23,10,10,12,13,27,55,22,62
80,91,15,19,6,2,34,23,24,22,22,17,19,10,10,15,4,8,15,22,5,9,24,9,23,51,27,63
72,80,24,17,7,10,24,31,24,16,11,30,8,19,17,12,6,5,16,20,4,7,9,12,26,65,20,46
95,98,20,17,3,3,24,24,27,23,22,38,15,25,7,10,4,5,16,6,6,3,15,13,31,57,32,58
119,82,15,17,7,2,32,14,17,24,32,19,27,12,15,12,5,2,7,11,2,4,11,10,43,69,29,69
89,83,27,14,5,5,29,23,27,25,28,31,18,17,15,18,10,15,12,13,3,4,19,16,31,65,27,69
120,123,28,23,4,5,27,33,23,21,22,38,20,29,6,16,10,6,9,20,4,8,10,16,44,82,35,67
97,91,16,25,5,4,37,36,22,27,39,19,25,13,17,8,13,6,12,17,2,4,12,15,33,74,33,65
102,89,22,17,6,3,34,26,28,24,27,32,18,28,9,10,8,9,10,17,4,7,18,12,36,67,20,56
113,101,22,25,2,2,40,27,20,27,35,21,30,20,8,12,4,7,13,35,5,7,15,9,34,63,30,60
103,92,19,20,0,5,22,19,22,30,38,27,31,18,12,5,8,5,7,13,2,8,13,23,33,64,25,47
93,96,19,25,4,5,29,35,21,23,32,18,21,13,9,13,9,4,21,14,6,7,11,15,27,57,31,75
99,83,25,13,12,4,37,32,18,22,29,20,19,15,18,11,7,6,13,25,2,4,10,9,37,74,28,61
85,74,18,11,3,4,31,28,19,26,32,13,20,12,12,5,9,4,22,11,5,4,12,19,25,50,25,60
107,94,24,20,5,4,32,30,21,27,35,18,25,12,15,9,4,5,21,27,8,8,12,13,29,61,29,56
106,104,29,28,3,3,24,31,23,17,17,22,14,16,12,7,12,8,32,14,12,8,14,18,28,52,32,58
100,80,28,14,5,5,33,28,24,28,27,34,21,20,20,7,7,8,14,10,7,4,14,13,29,74,24,59
93,96,15,15,3,5,26,34,24,26,28,30,24,26,14,9,12,8,9,9,3,2,17,18,30,75,32,65
103,91,25,24,3,2,33,24,25,20,26,36,21,27,17,14,5,10,15,13,6,2,17,13,32,64,29,65
100,97,20,19,5,2,36,27,29,21,27,39,22,27,9,15,6,6,28,19,12,6,16,12,21,44,26,56
115,93,20,21,11,10,33,33,17,27,37,26,34,17,10,11,10,3,17,14,5,6,8,20,33,68,29,71
87,95,18,18,7,8,25,33,22,16,15,33,10,26,18,12,8,7,21,7,7,1,12,12,28,69,33,66
102,93,19,15,5,4,28,26,22,33,41,31,27,23,17,8,6,5,15,14,7,8,10,9,27,57,23,55
90,82,17,13,6,1,37,32,16,24,14,12,12,7,15,11,5,7,25,21,4,5,18,17,33,62,30,67
87,93,14,20,2,4,24,30,25,25,30,30,23,24,12,8,5,4,21,11,6,5,11,11,23,55,27,57
105,108,23,27,6,9,29,34,28,30,33,35,25,29,11,10,6,7,19,14,6,5,14,18,31,72,32,67
108,95,24,19,5,4,22,23,24,21,25,36,20,30,21,10,11,9,23,8,10,3,14,22,29,65,28,56
108,97,20,16,2,1,37,32,26,29,43,35,31,28,18,6,8,6,13,11,3,5,11,16,34,78,27,61
103,100,22,21,12,1,35,24,25,24,29,32,23,26,4,15,2,4,7,24,2,8,15,5,37,61,25,63
120,117,23,22,4,6,24,20,25,32,38,29,34,26,14,5,6,8,8,19,6,11,18,17,34,64,29,54
100,79,18,16,6,7,34,30,13,20,17,15,15,10,7,5,2,4,16,12,9,5,11,15,29,61,27,61
84,80,14,14,1,5,35,30,15,26,29,22,24,17,14,8,6,5,15,15,2,5,8,12,27,65,24,59
114,105,25,28,1,5,28,25,18,28,36,23,32,17,8,9,10,9,12,11,6,4,16,16,32,62,38,67
91,83,20,18,1,5,32,26,18,17,17,20,13,16,11,14,6,10,10,20,6,5,18,12,30,66,26,59
114,89,36,22,12,2,31,22,19,21,30,21,21,17,18,15,10,6,16,10,7,4,12,14,36,65,30,75
88,100,17,33,0,5,37,36,18,19,20,15,15,10,13,8,4,10,19,27,7,14,15,8,26,61,24,57
89,113,16,31,1,8,21,39,17,23,31,20,29,17,6,13,7,6,9,13,2,6,10,14,27,68,39,69
108,96,21,19,2,2,30,29,23,27,34,24,24,18,15,11,6,2,20,29,10,12,8,15,27,64,21,50
98,76,19,10,3,7,30,23,21,18,13,27,9,20,11,12,8,9,18,16,11,4,18,18,28,61,22,53
90,89,21,21,5,7,29,29,29,24,22,22,14,13,9,13,7,6,13,16,4,4,16,19,32,66,32,66
86,81,20,20,6,4,28,30,20,22,21,31,15,25,11,7,6,8,23,17,7,8,12,18,25,55,16,43
90,103,12,19,6,2,23,32,19,17,29,24,20,21,12,8,9,7,11,15,0,8,12,14,35,69,29,59
90,94,23,17,2,3,41,30,29,23,22,38,18,23,11,11,5,6,15,28,2,9,17,12,33,62,22,51
106,104,25,27,2,1,30,30,16,27,28,17,20,15,10,7,3,6,16,17,6,5,10,10,34,64,37,65
104,89,22,20,3,7,30,19,22,18,11,25,8,19,19,10,6,4,11,11,4,2,11,12,42,76,32,65
105,95,24,15,5,8,31,37,30,29,42,35,31,27,6,7,6,7,8,15,4,2,11,16,31,68,31,61
85,87,18,19,6,4,32,32,21,25,20,26,16,18,13,24,1,5,17,10,3,5,14,11,30,64,27,80
114,120,23,18,6,5,39,36,32,29,33,46,26,38,25,25,3,11,28,26,8,10,15,11,32,80,26,74
99,106,21,25,7,4,33,37,21,27,25,16,16,12,8,12,3,4,28,18,11,8,12,13,25,52,35,70
92,81,20,11,4,4,36,34,17,23,22,21,16,12,10,8,8,6,25,18,6,9,7,15,29,58,21,58
99,91,25,19,10,1,29,28,19,21,27,16,20,13,6,14,4,6,11,17,5,6,11,11,32,59,30,66
100,82,21,16,6,2,32,31,26,24,26,25,15,17,18,12,10,5,18,19,5,5,18,20,35,70,25,57
76,85,16,16,2,5,35,30,23,19,17,32,10,26,16,11,3,9,10,18,6,7,15,7,24,66,19,52
85,89,8,18,6,9,27,33,22,23,24,20,22,15,21,6,8,4,21,14,7,6,11,16,21,67,28,55
105,102,16,19,5,7,34,29,24,27,24,26,18,20,19,13,5,4,14,15,3,6,11,12,39,91,32,73
80,77,11,13,6,8,31,32,20,28,32,29,25,19,16,19,5,6,7,21,1,6,11,15,26,70,20,60
92,112,11,23,4,4,22,28,28,28,35,32,25,23,17,11,11,10,14,15,5,7,17,15,26,57,34,59
89,94,18,21,4,6,36,32,26,22,31,30,28,19,11,5,5,5,15,13,5,5,13,10,23,61,30,60
99,105,22,19,7,2,22,27,30,24,18,41,12,34,14,12,8,6,31,10,9,5,11,17,30,62,28,61
117,91,37,15,4,2,35,25,20,23,24,30,18,22,10,11,5,9,21,13,5,1,16,13,42,62,33,66
92,97,16,18,6,3,39,29,22,22,27,28,25,21,5,13,6,10,7,20,3,8,17,9,29,63,26,64
75,77,10,14,2,7,30,28,20,19,26,17,19,10,12,10,7,6,6,15,0,3,13,13,28,64,29,57
