Date,Team,O.Team,Points,O.Points,Assists,O.Assists,BiggestLead,O.BiggestLead,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,FastBreakPoints,O.FastBreakPoints,FieldGoalsAttempted,O.FieldGoalsAttempted,FieldGoalsMade,O.FieldGoalsMade,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,MarginAtTheHalf,O.MarginAtTheHalf,OffensiveRebounds,O.OffensiveRebounds,Rebounds,O.Rebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,Playoffs
20051111,Hornets,Mavericks,88,98,12,19,0,21,3,3,26,35,13,14,67,75,24,34,28,35,52,30,38,25,-8,8,10,10,36,45,10,8,9,13,2,5,12,16,0
20051111,Cavaliers,Grizzlies,89,70,19,20,27,3,7,5,35,19,21,9,73,75,34,27,21,20,19,17,17,9,11,-11,14,10,49,29,10,8,14,23,4,7,20,19,0
20051111,Celtics,Spurs,82,103,22,19,0,26,2,4,24,37,4,8,79,71,35,40,17,20,15,22,8,17,-3,3,9,4,33,41,6,5,11,15,4,6,15,16,0
20051111,Kings,Nuggets,101,85,23,18,22,3,2,3,36,29,12,8,67,90,35,32,24,27,31,25,25,19,17,-17,3,14,39,43,5,7,14,14,6,2,16,11,0
20051111,Pacers,Nets,102,90,23,20,27,6,4,1,29,23,2,6,69,82,36,35,19,21,26,18,20,14,12,-12,8,14,37,37,6,8,25,16,10,6,14,11,0
20051111,Raptors,Jazz,84,99,18,23,5,16,6,6,23,30,11,6,68,69,29,35,28,26,29,32,21,23,-10,10,7,9,30,39,7,4,15,15,5,6,12,16,0
20051111,Seventysixers,Lakers,85,81,17,17,9,11,6,1,32,29,9,6,70,84,30,32,16,23,24,14,19,10,-4,4,9,13,41,42,10,8,14,20,6,7,15,15,0
20051111,Trailblazers,Pistons,81,84,19,20,10,8,6,2,30,21,8,5,65,74,32,32,22,23,23,18,16,13,7,-7,13,9,43,30,0,10,5,16,1,7,15,6,0
20051111,Warriors,Knicks,86,84,24,17,3,13,7,1,34,36,16,2,75,76,29,33,20,19,27,19,19,15,-9,9,11,8,45,44,5,9,29,12,9,3,12,10,0
20051111,Wizards,Supersonics,137,96,31,20,41,1,2,1,28,23,30,12,82,78,48,31,27,33,41,37,33,27,22,-22,13,15,41,38,10,6,17,23,8,7,12,17,0
20051112,Bucks,Pacers,103,102,17,19,1,20,7,9,31,31,17,8,89,73,35,33,32,30,39,47,28,31,-16,16,22,10,53,41,6,18,13,12,5,5,21,17,0
20051112,Bulls,Jazz,103,98,21,24,16,3,6,4,27,26,7,4,68,76,37,35,25,27,26,31,19,22,10,-10,6,13,33,39,5,6,19,18,10,6,16,14,0
20051112,Hawks,Grizzlies,84,85,23,16,6,12,5,7,29,28,6,2,83,72,33,29,26,19,19,26,14,20,-3,3,16,10,45,38,7,6,12,23,4,7,12,12,0
20051112,Heat,Hornets,108,99,26,21,28,0,7,5,45,20,12,25,74,87,42,34,25,23,24,36,15,25,14,-14,11,8,56,28,3,20,19,14,9,6,26,8,0
20051112,Pelicans,Mavericks,103,109,21,18,3,14,2,0,28,19,6,9,70,74,39,38,27,23,25,30,21,25,-3,3,8,10,36,29,4,8,11,19,4,8,15,11,0
20051112,Nets,Rockets,91,99,19,23,5,17,2,5,26,30,4,8,78,71,29,33,23,29,28,23,24,20,-11,11,11,8,37,38,3,4,20,21,9,13,9,13,0
20051112,Suns,Warriors,101,86,21,12,20,2,7,3,36,41,22,13,92,86,39,31,21,22,22,25,17,18,6,-6,15,14,51,55,9,6,19,25,6,6,9,17,0
20051112,Wizards,Spurs,110,95,21,14,18,5,3,1,33,27,26,15,78,83,43,34,18,19,25,22,17,19,-1,1,7,12,40,39,9,6,14,14,7,8,13,14,0
20051113,Celtics,Rockets,102,82,25,11,23,0,8,5,32,28,9,3,85,72,39,27,27,19,14,35,12,22,11,-11,14,13,46,41,9,10,25,19,12,6,16,19,0
20051113,Kings,Knicks,95,105,23,22,0,19,3,4,29,34,4,15,67,76,28,41,24,33,41,24,32,17,-16,16,7,5,36,39,9,15,24,7,7,6,21,21,0
20051113,Magic,Cavaliers,100,108,18,18,3,17,4,3,30,26,9,14,75,82,34,42,22,24,28,26,26,18,-17,17,9,9,39,35,8,14,12,16,6,6,20,12,0
20051113,Nuggets,Timberwolves,102,91,25,22,18,3,12,4,39,24,15,14,81,81,39,35,21,20,26,18,17,14,7,-7,15,6,54,30,6,9,12,15,7,7,20,10,0
20051113,Raptors,Supersonics,121,126,25,20,2,17,0,2,27,31,14,21,96,79,45,40,32,29,26,49,18,41,-6,6,17,11,44,42,3,11,32,21,13,5,18,17,0
20051113,Seventysixers,Clippers,113,108,22,25,14,2,5,4,29,29,20,15,82,79,39,37,26,31,38,32,31,27,10,-10,11,10,40,39,9,9,8,20,4,7,14,20,0
20051114,Grizzlies,Lakers,85,73,14,12,26,4,11,12,32,30,17,9,82,77,31,25,22,20,25,23,19,19,9,-9,18,15,50,45,8,5,15,11,4,4,14,17,0
20051114,Jazz,Knicks,62,73,16,14,6,14,7,8,28,35,20,6,75,64,22,27,26,19,17,24,14,14,-1,1,12,9,40,44,8,8,18,10,4,5,20,22,0
